date,location,new_confirmed,new_deceased,new_recovered,total_confirmed,total_deceased
2020-07-28,US_NY,534,9,0,412878,25126
2020-07-28,US_NY_NYC,313,12,0,222706,18641
2020-07-29,US_NY,715,6,0,413593,25132
2020-07-29,US_NY_NYC,287,5,0,222993,18646
2020-07-30,US_NY,777,13,0,414370,25145
2020-07-30,US_NY_NYC,274,4,0,223267,18650
2020-07-31,US_NY,644,5,0,415014,25150
2020-07-31,US_NY_NYC,262,3,0,223529,18653
2020-08-01,US_NY,753,14,0,415767,25164
2020-08-01,US_NY_NYC,189,6,0,223718,18659
2020-08-02,US_NY,531,6,0,416298,25170
2020-08-02,US_NY_NYC,135,2,0,223853,18661
2020-08-03,US_NY,545,2,0,416843,25172
2020-08-03,US_NY_NYC,348,2,0,224201,18663
2020-08-04,US_NY,746,3,0,417589,25175
2020-08-04,US_NY_NYC,187,4,0,224388,18667
2020-08-05,US_NY,636,4,0,418225,25179
2020-08-05,US_NY_NYC,298,6,0,224686,18673
2020-08-06,US_NY,703,6,0,418928,25185
2020-08-06,US_NY_NYC,288,5,0,224974,18678
2020-08-07,US_NY,714,5,0,419642,25190
2020-08-07,US_NY_NYC,255,2,0,225229,18680
2020-08-08,US_NY,703,5,0,420345,25195
2020-08-08,US_NY_NYC,160,4,0,225389,18684
2020-08-09,US_NY,515,7,0,420860,25202
2020-08-09,US_NY_NYC,133,3,0,225522,18687
2020-08-10,US_NY,476,2,0,421336,25204
2020-08-10,US_NY_NYC,312,5,0,225834,18692
2020-08-11,US_NY,667,7,0,422003,25211
2020-08-11,US_NY_NYC,263,4,0,226097,18696
2020-08-12,US_NY,700,7,0,422703,25218
2020-08-12,US_NY_NYC,320,1,0,226417,18697
2020-08-13,US_NY,737,10,0,423440,25228
2020-08-13,US_NY_NYC,276,3,0,226693,18700
2020-08-14,US_NY,727,4,0,424167,25232
2020-08-14,US_NY_NYC,277,3,0,226970,18703
2020-08-15,US_NY,734,12,0,424901,25244
2020-08-15,US_NY_NYC,151,4,0,227121,18707
2020-08-16,US_NY,607,6,0,425508,25250
2020-08-16,US_NY_NYC,140,5,0,227261,18712
2020-08-17,US_NY,408,6,0,425916,25256
2020-08-17,US_NY_NYC,333,5,0,227594,18717
2020-08-18,US_NY,655,8,0,426571,25264
2020-08-18,US_NY_NYC,283,1,0,227877,18718
2020-08-19,US_NY,631,6,0,427202,25270
2020-08-19,US_NY_NYC,257,1,0,228134,18719
2020-08-20,US_NY,601,5,0,427803,25275
2020-08-20,US_NY_NYC,227,7,0,228361,18726
2020-08-21,US_NY,709,3,0,428512,25278
2020-08-21,US_NY_NYC,252,3,0,228613,18729
2020-08-22,US_NY,653,4,0,429165,25282
2020-08-22,US_NY_NYC,136,6,0,228749,18735
2020-08-23,US_NY,572,6,0,429737,25288
2020-08-23,US_NY_NYC,150,3,0,228899,18738
2020-08-24,US_NY,408,7,0,430145,25295
2020-08-24,US_NY_NYC,297,8,0,229196,18746
2020-08-25,US_NY,629,2,0,430774,25297
2020-08-25,US_NY_NYC,283,4,0,229479,18750
2020-08-26,US_NY,566,8,0,431340,25305
2020-08-26,US_NY_NYC,313,6,0,229792,18756
2020-08-27,US_NY,791,4,0,432131,25309
2020-08-27,US_NY_NYC,274,1,0,230066,18757
2020-08-28,US_NY,636,3,0,432767,25312
2020-08-28,US_NY_NYC,280,5,0,230346,18762
2020-08-29,US_NY,635,7,0,433402,25319
2020-08-29,US_NY_NYC,128,2,0,230474,18764
2020-08-30,US_NY,698,8,0,434100,25327
2020-08-30,US_NY_NYC,186,4,0,230660,18768
2020-08-31,US_NY,656,1,0,434756,25328
2020-08-31,US_NY_NYC,315,1,0,230975,18769
2020-09-01,US_NY,754,3,0,435510,25331
2020-09-01,US_NY_NYC,293,3,0,231268,18772
2020-09-02,US_NY,708,5,0,436218,25336
2020-09-02,US_NY_NYC,270,4,0,231538,18776
2020-09-03,US_NY,889,7,0,437107,25343
2020-09-03,US_NY_NYC,273,5,0,231811,18781
2020-09-04,US_NY,864,5,0,437971,25348
2020-09-04,US_NY_NYC,230,5,0,232041,18786
2020-09-05,US_NY,801,2,0,438772,25350
